a baker's dozen
a basket case
a blessing in disguise
a breath of fresh air
a change of heart
a gray area
a gut feeling
a long haul
a piece of cake
a rip-off
a rising tide lifts all boats
a rule of thumb
a stone's throw
a storm is brewing
add fuel to the fire
add insult to injury
against the grain
all fired up
an eye-opener
at the top of your lungs
at your fingertips
a ballpark figure
bang for your buck
barking up the wrong tree
be a catch
a pain (in the neck)
child's play
chuffed to bits
in hot water
in somebody's good books
in the red
to be on somebody's back
on the ball
on the same wavelength
only a matter of time
be that as it may
tickled pink
up in arms
beat a dead horse
beat around the bush
beats me
bend over backwards
between a rock and a hard place
birds of a feather (flock together)
bite off more than you can chew
bite your tongue
blown away
blow smoke
blow something out of proportion
break the ice
breathe down somebody's neck
bring something to light
burn your bridges
bury the hatchet
bury your head in the sand
buy it
by the skin of your teeth
call it a day
call it a night
call it even
call it quits
call somebody's bluff
call the shots
calm before the storm
can of worms
unable to see the forest for the trees
castle in the sky
catch on
catch somebody's eye
catch wind of something
change your mind
chasing rainbows
clear as mud
climb the corporate ladder
close, but no cigar
go cold turkey
come out swinging
costs an arm and a leg
you couldn't care less
cross that bridge when you come to it
cross your fingers
crunch time
cry wolf
cut somebody some slack
cut to the chase
the daily grind
a dead end
dig in your heels
do the trick
don't judge a book by its cover
down and out
down the drain
down to earth
drag your feet
draw a blank
drop out
easy as pie
easy come, easy go
easy on the eyes
eat like a bird
elbow grease
every cloud has a silver lining
face the music
fall on deaf ears
fall through the cracks
fed up
feel free
feel like doing something
few and far between
first-hand
fit the bill
flunk out
follow in somebody's footsteps
foot the bill
for good
for kicks
for the birds
for the time being
freak out
from scratch
full of it
gain ground
get a grip
get a handle on
get a kick out of something
get a move on
get a word in edgewise
get carried away
get cold feet
get cracking
get even
get hitched
get into deep water
get into gear
get it out of your system
get on someone's nerves
get on someone's case
get your act together
get your feet wet
wake up on the wrong side of the bed
get out of hand
get sacked
get something off your chest
get something straight
get the ball rolling
get the hang of
get the picture
get the point
get to the bottom of
get your act together
get your foot in the door
get your head around something
give a hand
give it a go
give it a shot
give it your all
give somebody a piece of your mind
give somebody free rein
give somebody the benefit of the doubt
give someone the cold shoulder
go all out
go down in flames
go downhill
go on about something
go the extra mile
go up in smoke
go with the flow
hand it to someone
hands down
hang in there
happy camper
have a blast
have a bone to pick
have a chip on your shoulder
have a cow
have a screw loose
have a shot at
have a word with
you have had it up to here
have it in for somebody
have second thoughts
have the blues
have your heart set on something
have your work cut out
hear (something) through the grapevine
heavy-duty
hit a snag
hit it off
hit rock bottom
hit the books
hit the hay
hit the nail on the head
hit the roof
hit the sack
hold your horses
be all ears
if need be
in a bind
in charge
in cold blood
in hand
in less than no time
in the bag
in the doghouse
in the middle of nowhere
in the nick of time
in the same boat
jog somebody's memory
jump on the bandwagon
jump the gun
just about
just my luck!
just what the doctor ordered
keep a lid on something
keep an eye on
keep it down
keep on
keep your nose to the grindstone
keep somebody in the dark
keep track
kick around
kick back
kick the bucket
kid around
knock it off
know something by heart
know something like the back of your hand
know your stuff
learn the ropes
leave a bad taste in your mouth
to leave a lot to be desired
leave no stone unturned
left, right, and center
let off steam
let somebody off the hook
let the cat out of the bag
let the chips fall where they may
let the dust settle
let your freak flag fly
lie through your teeth
like shooting fish in a barrel
like taking candy from a baby
long face
loose ends
lose your head
lose your marbles
lose your mind
lost at sea
make a difference
make a living
make a mountain out of a molehill
make believe
make do
make ends meet
make off with
make up your mind
make waves
make your day
makes sense
many moons ago
means business
mind your own business
miss the boat
miss the point
mixed up
money doesn't grow on trees
monkey around
nail it down
never mind
nip something in the bud
no hard feelings
no spring chicken
no sweat
no way!
no-brainer
not a chance
not have a clue
not have the foggiest idea
nothing to sneeze at
nothing to write home about
odds and ends
of age
off your rocker
off the beaten track
off the cuff
off the hook
off the mark
off the top of your head
on a roll
on edge
on your toes
on the back burner
on the blink
on the button
on the dot
on the level
on the line
on the tip of your tongue
once in a blue moon
your bark is worse than your bite
your lips are sealed
out of line
out of order
out of sight, out of mind
out of the blue
out of the woods
paint the town red
pass the buck
pay the price for something
pay through the nose
pick somebody's brain
play devil's advocate
play it by ear
play your cards right
point the finger
pound the pavement
pour oil on troubled waters
pull a rabbit out of a hat
pull somebody's leg
pull teeth
pull your weight
pull yourself together
push your luck
put a sock in it
put all your eggs in one basket
put your foot down
put your mind to it
put something on hold
rain cats and dogs
rain or shine
raise (a few) eyebrows
raise a stink
raise the bar
read between the lines
red tape
right on the money
it rings a bell
rock the boat
rub the wrong way
run-of-the-mill
running on fumes
safe and sound
sail close to the wind
salt of the earth
scared to death
scope out
scratch the surface
see eye to eye
see red
be able to sell ice to Eskimos
sell like hot cakes
set the record straight
set your heart on something
shake a leg
shape up or ship out
shoot from the hip
shoot the breeze
shrug off
sit on the fence
sit tight
sitting pretty
skeleton crew
a slip of the tongue
something slips your mind
small talk
sold you out
sour grapes
speak your mind
spill the beans
stand your ground
step up your game
stuck in a rut
take a back seat
take a breather
take a chance
take a crack at
take a spill
take something for granted
take the heat
take the plunge
take what someone says with a pinch of salt
talk shop
a tall tale
tar someone with the same brush
the ball is in your court
the be all and end all
the bottom line
the fine print
the icing on the cake
know the ins and outs
the last straw
the pits
the tip of the iceberg
the whole shebang
the word spread
there's nothing to it
think twice
through the roof
throw a fit
tie the knot
time flies
to each his own
hold out an olive branch
keep something at bay
tongue-tied
twist somebody's arm
under your breath
under the gun
under the sun
under the weather
until you are blue in the face
up for grabs
up in the air
up to something
up to speed
up-and-coming
ups and downs
wake up and smell the coffee
walking on air
watch like a hawk
water down
weather a storm
well off
wet behind the ears
when all is said and done
when it rains, it pours
when pigs fly
when push comes to shove
whet your appetite
with flying colors
wolf in sheep's clothing
work your butt off
you would not be caught dead
you can say that again!
you name it
you rock
you sold me (on something)
zero in on something
a
ability
able
about
above
accept
according
account
across
act
action
activity
actually
add
address
administration
admit
adult
affect
after
again
against
age
agency
agent
ago
agree
agreement
ahead
air
all
allow
almost
alone
along
already
also
although
always
American
among
amount
analysis
and
animal
another
answer
any
anyone
anything
appear
apply
approach
area
argue
arm
around
arrive
art
article
artist
as
ask
assume
at
attack
attention
attorney
audience
author
authority
available
avoid
away
baby
back
bad
bag
ball
bank
bar
base
be
beat
beautiful
because
become
bed
before
begin
behavior
behind
believe
benefit
best
better
between
beyond
big
bill
billion
bit
black
blood
blue
board
body
book
born
both
box
boy
break
bring
brother
budget
build
building
business
but
buy
by
call
camera
campaign
can
cancer
candidate
capital
car
card
care
career
carry
case
catch
cause
cell
center
central
century
certain
certainly
chair
challenge
chance
change
character
charge
check
child
choice
choose
church
citizen
city
civil
claim
class
clear
clearly
close
coach
cold
collection
college
color
come
commercial
common
community
company
compare
computer
concern
condition
conference
Congress
consider
consumer
contain
continue
control
cost
could
country
couple
course
court
cover
create
crime
cultural
culture
cup
current
customer
cut
dark
data
daughter
day
dead
deal
death
debate
decade
decide
decision
deep
defense
degree
Democrat
democratic
describe
design
despite
detail
determine
develop
development
die
difference
different
difficult
dinner
direction
director
discover
discuss
discussion
disease
do
doctor
dog
door
down
draw
dream
drive
drop
drug
during
each
early
east
easy
eat
economic
economy
edge
education
effect
effort
eight
either
election
else
employee
end
energy
enjoy
enough
enter
entire
environment
environmental
especially
establish
even
evening
event
ever
every
everybody
everyone
everything
evidence
exactly
example
executive
exist
expect
experience
expert
explain
eye
face
fact
factor
fail
fall
family
far
fast
father
fear
federal
feel
feeling
few
field
fight
figure
fill
film
final
finally
financial
find
fine
finger
finish
fire
firm
first
fish
five
floor
fly
focus
follow
food
foot
for
force
foreign
forget
form
former
forward
four
free
friend
from
front
full
fund
future
game
garden
gas
general
generation
get
girl
give
glass
go
goal
good
government
great
green
ground
group
grow
growth
guess
gun
guy
hair
half
hand
hang
happen
happy
hard
have
he
head
health
hear
heart
heat
heavy
help
her
here
herself
high
him
himself
his
history
hit
hold
home
hope
hospital
hot
hotel
hour
house
how
however
huge
human
hundred
husband
I
idea
identify
if
image
imagine
impact
important
improve
in
include
including
increase
indeed
indicate
individual
industry
information
inside
instead
institution
interest
interesting
international
interview
into
investment
involve
issue
it
item
its
itself
job
join
just
keep
key
kid
kill
kind
kitchen
know
knowledge
land
language
large
last
late
later
laugh
law
lawyer
lay
lead
leader
learn
least
leave
left
leg
legal
less
let
letter
level
lie
life
light
like
likely
line
list
listen
little
live
local
long
look
lose
loss
lot
love
low
machine
magazine
main
maintain
major
majority
make
man
manage
management
manager
many
market
marriage
material
matter
may
maybe
me
mean
measure
media
medical
meet
meeting
member
memory
mention
message
method
middle
might
military
million
mind
minute
miss
mission
model
modern
moment
money
month
more
morning
most
mother
mouth
move
movement
movie
Mr
Mrs
much
music
must
my
myself
name
nation
national
natural
nature
near
nearly
necessary
need
network
never
new
news
newspaper
next
nice
night
no
none
nor
north
not
note
nothing
notice
now
n't
number
occur
of
off
offer
office
officer
official
often
oh
oil
ok
old
on
once
one
only
onto
open
operation
opportunity
option
or
order
organization
other
others
our
out
outside
over
own
owner
page
pain
painting
paper
parent
part
participant
particular
particularly
partner
party
pass
past
patient
pattern
pay
peace
people
per
perform
performance
perhaps
period
person
personal
phone
physical
pick
picture
piece
place
plan
plant
play
player
PM
point
police
policy
political
politics
poor
popular
population
position
positive
possible
power
practice
prepare
present
president
pressure
pretty
prevent
price
private
probably
problem
process
produce
product
production
professional
professor
program
project
property
protect
prove
provide
public
pull
purpose
push
put
quality
question
quickly
quite
race
radio
raise
range
rate
rather
reach
read
ready
real
reality
realize
really
reason
receive
recent
recently
recognize
record
red
reduce
reflect
region
relate
relationship
religious
remain
remember
remove
report
represent
Republican
require
research
resource
respond
response
responsibility
rest
result
return
reveal
rich
right
rise
risk
road
rock
role
room
rule
run
safe
same
save
say
scene
school
science
scientist
score
sea
season
seat
second
section
security
see
seek
seem
sell
send
senior
sense
series
serious
serve
service
set
seven
several
sex
sexual
shake
share
she
shoot
short
shot
should
shoulder
show
side
sign
significant
similar
simple
simply
since
sing
single
sister
sit
site
situation
six
size
skill
skin
small
smile
so
social
society
soldier
some
somebody
someone
something
sometimes
son
song
soon
sort
sound
source
south
southern
space
speak
special
specific
speech
spend
sport
spring
staff
stage
stand
standard
star
start
state
statement
station
stay
step
still
stock
stop
store
story
strategy
street
strong
structure
student
study
stuff
style
subject
success
successful
such
suddenly
suffer
suggest
summer
support
sure
surface
system
table
take
talk
task
tax
teach
teacher
team
technology
television
tell
ten
tend
term
test
than
thank
that
the
their
them
themselves
then
theory
there
these
they
thing
think
third
this
those
though
thought
thousand
threat
three
through
throughout
throw
thus
time
to
today
together
tonight
too
top
total
tough
toward
town
trade
traditional
training
travel
treat
